===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,pe,SmaCross,len,datetime,MovingAverageSimple,len,sma,CrossOver,len,crossover,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
95,,95,2020-05-27 00:00:00,100.53494592,101.51291232,100.241556,101.2195224,20145712.0,,208419130.0,SmaCross,95,737572.0,MovingAverageSimple,95,100.45670860800001,CrossOver,95,1.0,Broker,95,9882.120526416002,9882.120526416002,BuySell,95,,,Trades - Net Profit/Loss,95,,
96,,96,2020-05-28 00:00:00,101.31731904,103.1754552,101.31731904,102.97986192,38263189.0,,401358593.0,SmaCross,96,737573.0,MovingAverageSimple,96,100.84789516800001,CrossOver,96,0.0,Broker,96,9882.120526416002,9882.120526416002,BuySell,96,,,Trades - Net Profit/Loss,96,,
97,,97,2020-05-29 00:00:00,102.1974888,103.37104848,102.1974888,103.37104848,30659227.0,,322828566.0,SmaCross,97,737574.0,MovingAverageSimple,97,101.688946272,CrossOver,97,0.0,Broker,97,9882.120526416002,9882.120526416002,BuySell,97,,,Trades - Net Profit/Loss,97,,
98,,98,2020-06-01 00:00:00,103.95782832,104.83799808,103.37104848,104.1534216,28612841.0,,304346423.0,SmaCross,98,737577.0,MovingAverageSimple,98,102.432200736,CrossOver,98,0.0,Broker,98,9882.120526416002,9882.120526416002,BuySell,98,,,Trades - Net Profit/Loss,98,,
99,,99,2020-06-02 00:00:00,103.46884512,105.03359136,103.46884512,104.44681152,25922545.0,,276609954.0,SmaCross,99,737578.0,MovingAverageSimple,99,103.234133184,CrossOver,99,0.0,Broker,99,9882.120526416002,9882.120526416002,BuySell,99,,,Trades - Net Profit/Loss,99,,
100,,100,2020-06-03 00:00:00,105.131388,106.30494768,104.6424048,104.6424048,27352188.0,,294473001.0,SmaCross,100,737579.0,MovingAverageSimple,100,103.91870966399999,CrossOver,100,0.0,Broker,100,9882.120526416002,9882.120526416002,BuySell,100,,,Trades - Net Profit/Loss,100,,
101,,101,2020-06-04 00:00:00,105.6203712,105.6203712,104.05562496,104.05562496,17559033.0,,187688384.0,SmaCross,101,737580.0,MovingAverageSimple,101,104.13386227199999,CrossOver,101,-1.0,Broker,101,9882.120526416002,9882.120526416002,BuySell,101,,,Trades - Net Profit/Loss,101,,
102,,102,2020-06-05 00:00:00,104.44681152,104.54460816,103.27325184,104.34901488,20958291.0,,222668156.0,SmaCross,102,737581.0,MovingAverageSimple,102,104.32945555199998,CrossOver,102,1.0,Broker,102,9882.120526416002,9882.120526416002,BuySell,102,,,Trades - Net Profit/Loss,102,,
103,,103,2020-06-08 00:00:00,104.05562496,104.83799808,103.6644384,103.76223504,18251152.0,,194265349.0,SmaCross,103,737584.0,MovingAverageSimple,103,104.25121824,CrossOver,103,-1.0,Broker,103,9882.120526416002,9882.120526416002,BuySell,103,,,Trades - Net Profit/Loss,103,,
104,,104,2020-06-09 00:00:00,103.86003168,104.83799808,103.46884512,104.44681152,17263160.0,,184089097.0,SmaCross,104,737585.0,MovingAverageSimple,104,104.25121824,CrossOver,104,1.0,Broker,104,9882.120526416002,9882.120526416002,BuySell,104,,,Trades - Net Profit/Loss,104,,
105,,105,2020-06-10 00:00:00,104.74020144,104.74020144,103.46884512,103.46884512,16693480.0,,177440922.0,SmaCross,105,737586.0,MovingAverageSimple,105,104.01650630399999,CrossOver,105,-1.0,Broker,105,9882.120526416002,9882.120526416002,BuySell,105,,,Trades - Net Profit/Loss,105,,
106,,106,2020-06-11 00:00:00,103.46884512,103.76223504,102.1974888,102.49087872,25171455.0,,264822302.0,SmaCross,106,737587.0,MovingAverageSimple,106,103.703557056,CrossOver,106,0.0,Broker,106,9882.120526416002,9882.120526416002,BuySell,106,,,Trades - Net Profit/Loss,106,,
107,,107,2020-06-12 00:00:00,103.46884512,103.46884512,102.00189552,103.1754552,25514482.0,,267574331.0,SmaCross,107,737588.0,MovingAverageSimple,107,103.46884512,CrossOver,107,0.0,Broker,107,9882.120526416002,9882.120526416002,BuySell,107,,,Trades - Net Profit/Loss,107,,
108,,108,2020-06-15 00:00:00,101.80630224,102.58867536,101.2195224,101.2195224,25497883.0,,265574307.0,SmaCross,108,737591.0,MovingAverageSimple,108,102.96030259199999,CrossOver,108,0.0,Broker,108,9882.120526416002,9882.120526416002,BuySell,108,,,Trades - Net Profit/Loss,108,,
109,,109,2020-06-16 00:00:00,102.09969216,102.686472,101.7085056,102.1974888,17682742.0,,184966297.0,SmaCross,109,737592.0,MovingAverageSimple,109,102.510438048,CrossOver,109,0.0,Broker,109,9882.120526416002,9882.120526416002,BuySell,109,,,Trades - Net Profit/Loss,109,,
110,,110,2020-06-17 00:00:00,102.09969216,102.78426864,102.00189552,102.39308208,16148594.0,,169024390.0,SmaCross,110,737593.0,MovingAverageSimple,110,102.29528544,CrossOver,110,1.0,Broker,110,9882.120526416002,9882.120526416002,BuySell,110,,,Trades - Net Profit/Loss,110,,
111,,111,2020-06-18 00:00:00,101.90409888,103.37104848,101.61070896,102.686472,20856551.0,,218713603.0,SmaCross,111,737594.0,MovingAverageSimple,111,102.334404096,CrossOver,111,0.0,Broker,111,9882.120526416002,9882.120526416002,BuySell,111,,,Trades - Net Profit/Loss,111,,
112,,112,2020-06-19 00:00:00,103.27325184,104.44681152,102.686472,103.76223504,39814479.0,,422462428.0,SmaCross,112,737595.0,MovingAverageSimple,112,102.451760064,CrossOver,112,0.0,Broker,112,9882.120526416002,9882.120526416002,BuySell,112,,,Trades - Net Profit/Loss,112,,
113,,113,2020-06-22 00:00:00,103.37104848,104.25121824,102.97986192,103.1754552,24611903.0,,260728901.0,SmaCross,113,737598.0,MovingAverageSimple,113,102.842946624,CrossOver,113,0.0,Broker,113,9882.120526416002,9882.120526416002,BuySell,113,,,Trades - Net Profit/Loss,113,,
114,,114,2020-06-23 00:00:00,102.78426864,103.37104848,102.39308208,102.49087872,19602212.0,,206109220.0,SmaCross,114,737599.0,MovingAverageSimple,114,102.90162460799999,CrossOver,114,-1.0,Broker,114,9882.120526416002,9882.120526416002,BuySell,114,,,Trades - Net Profit/Loss,114,,
115,,115,2020-06-24 00:00:00,103.07765856,103.76223504,102.686472,103.6644384,22873884.0,,241489165.0,SmaCross,115,737600.0,MovingAverageSimple,115,103.155895872,CrossOver,115,1.0,Broker,115,9882.120526416002,9882.120526416002,BuySell,115,,,Trades - Net Profit/Loss,115,,
116,,116,2020-06-29 00:00:00,103.95782832,104.93579472,102.58867536,103.37104848,27875619.0,,295223647.0,SmaCross,116,737605.0,MovingAverageSimple,116,103.292811168,CrossOver,116,0.0,Broker,116,9882.120526416002,9882.120526416002,BuySell,116,,,Trades - Net Profit/Loss,116,,
117,,117,2020-06-30 00:00:00,103.56664176,104.05562496,103.07765856,103.46884512,22886764.0,,242601910.0,SmaCross,117,737606.0,MovingAverageSimple,117,103.234133184,CrossOver,117,0.0,Broker,117,9882.120526416002,9882.120526416002,BuySell,117,,,Trades - Net Profit/Loss,117,,
118,,118,2020-07-01 00:00:00,103.56664176,105.22918464,103.1754552,105.03359136,36690710.0,,390832225.0,SmaCross,118,737607.0,MovingAverageSimple,118,103.605760416,CrossOver,118,0.0,Broker,118,9882.120526416002,9882.120526416002,BuySell,118,,,Trades - Net Profit/Loss,118,,
119,,119,2020-07-02 00:00:00,104.93579472,108.0652872,104.6424048,108.0652872,60951268.0,,663308323.0,SmaCross,119,737608.0,MovingAverageSimple,119,104.720642112,CrossOver,119,0.0,Broker,119,9882.120526416002,9882.120526416002,BuySell,119,,,Trades - Net Profit/Loss,119,,
120,,120,2020-07-03 00:00:00,108.35867712,110.11901664,107.77189728,109.43444016,82238477.0,,916157920.0,SmaCross,120,737609.0,MovingAverageSimple,120,105.874642464,CrossOver,120,0.0,Broker,120,9882.120526416002,9882.120526416002,BuySell,120,,,Trades - Net Profit/Loss,120,,
121,,121,2020-07-06 00:00:00,110.5102032,120.38766384,110.41240656,119.3119008,149558001.0,,1776417981.0,SmaCross,121,737612.0,MovingAverageSimple,121,109.062812928,CrossOver,121,0.0,Broker,121,9882.120526416002,9882.120526416002,BuySell,121,,,Trades - Net Profit/Loss,121,,
122,,122,2020-07-07 00:00:00,121.7568168,124.10393616,118.3339344,118.43173104,131469759.0,,1621839646.0,SmaCross,122,737613.0,MovingAverageSimple,122,112.05539011200001,CrossOver,122,0.0,Broker,122,9882.120526416002,9882.120526416002,BuySell,122,,,Trades - Net Profit/Loss,122,,
123,,123,2020-07-08 00:00:00,119.01851088,121.65902016,117.64935792,118.72512096,104879230.0,,1282339816.0,SmaCross,123,737614.0,MovingAverageSimple,123,114.793696032,CrossOver,123,0.0,Broker,123,9882.120526416002,9882.120526416002,BuySell,123,,,Trades - Net Profit/Loss,123,,
124,,124,2020-07-09 00:00:00,119.89868064,119.89868064,116.76918816,117.25817136,91311738.0,,1101713242.0,SmaCross,124,737615.0,MovingAverageSimple,124,116.63227286399999,CrossOver,124,0.0,Broker,124,9882.120526416002,9882.120526416002,BuySell,124,,,Trades - Net Profit/Loss,124,,
125,,125,2020-07-10 00:00:00,117.16037472,118.23613776,112.9551192,113.4441024,78611864.0,,925839420.0,SmaCross,125,737616.0,MovingAverageSimple,125,117.43420531199999,CrossOver,125,-1.0,Broker,125,9882.120526416002,9882.120526416002,BuySell,125,,,Trades - Net Profit/Loss,125,,
126,,126,2020-07-13 00:00:00,113.4441024,115.8890184,113.05291584,114.03088224,96564333.0,,1128297577.0,SmaCross,126,737619.0,MovingAverageSimple,126,116.37800159999999,CrossOver,126,0.0,Broker,126,9882.120526416002,9882.120526416002,BuySell,126,,,Trades - Net Profit/Loss,126,,
127,,127,2020-07-14 00:00:00,113.54189904,114.32427216,110.80359312,111.29257632,79944260.0,,919482272.0,SmaCross,127,737620.0,MovingAverageSimple,127,114.950170656,CrossOver,127,0.0,Broker,127,9882.120526416002,9882.120526416002,BuySell,127,,,Trades - Net Profit/Loss,127,,
128,,128,2020-07-15 00:00:00,112.17274608,112.17274608,108.94545696,109.33664352,92438310.0,,1042128861.0,SmaCross,128,737621.0,MovingAverageSimple,128,113.07247516800001,CrossOver,128,0.0,Broker,128,9882.120526416002,9882.120526416002,BuySell,128,,,Trades - Net Profit/Loss,128,,
129,,129,2020-07-16 00:00:00,110.02122,112.27054272,109.5322368,109.5322368,96614162.0,,1094090004.0,SmaCross,129,737622.0,MovingAverageSimple,129,111.52728825599999,CrossOver,129,0.0,Broker,129,9882.120526416002,9882.120526416002,BuySell,129,,,Trades - Net Profit/Loss,129,,
130,,130,2020-07-17 00:00:00,111.19477968,111.39037296,109.23884688,110.21681328,68639480.0,,771657319.0,SmaCross,130,737623.0,MovingAverageSimple,130,110.88183043199999,CrossOver,130,0.0,Broker,130,9882.120526416002,9882.120526416002,BuySell,130,,,Trades - Net Profit/Loss,130,,
131,,131,2020-07-20 00:00:00,110.70579648,113.15071248,110.21681328,112.66172928,78766518.0,,901216619.0,SmaCross,131,737626.0,MovingAverageSimple,131,110.60799984,CrossOver,131,1.0,Broker,131,9882.120526416002,9882.120526416002,BuySell,131,,,Trades - Net Profit/Loss,131,,
132,,132,2020-07-21 00:00:00,113.34630576,113.54189904,111.4881696,112.85732256,55004587.0,,632576750.48,SmaCross,132,737627.0,MovingAverageSimple,132,110.920949088,CrossOver,132,0.0,Broker,132,9882.120526416002,9882.120526416002,BuySell,132,,,Trades - Net Profit/Loss,132,,
133,,133,2020-07-22 00:00:00,112.9551192,114.911052,112.466136,113.63969568,98687637.0,,1147395851.08,SmaCross,133,737628.0,MovingAverageSimple,133,111.78155952,CrossOver,133,0.0,Broker,133,9882.120526416002,9882.120526416002,BuySell,133,,,Trades - Net Profit/Loss,133,,
134,,134,2020-07-23 00:00:00,113.33034167,113.33034167,109.41173113,111.78352172,86806896.0,,937319747.44,SmaCross,134,737629.0,MovingAverageSimple,134,112.231816504,CrossOver,134,-1.0,Broker,134,9882.120526416002,9882.120526416002,BuySell,134,,,Trades - Net Profit/Loss,134,,
135,,135,2020-07-24 00:00:00,111.16479374,111.3710364,107.2461832,107.45242586,72886391.0,,769923511.02,SmaCross,135,737630.0,MovingAverageSimple,135,111.67893902,CrossOver,135,0.0,Broker,135,9882.120526416002,9882.120526416002,BuySell,135,,,Trades - Net Profit/Loss,135,,
136,,136,2020-07-27 00:00:00,108.79300315,108.79300315,106.42121256,106.93681921,44655910.0,,465608566.02,SmaCross,136,737633.0,MovingAverageSimple,136,110.533957006,CrossOver,136,0.0,Broker,136,9882.120526416002,9882.120526416002,BuySell,136,,,Trades - Net Profit/Loss,136,,
137,,137,2020-07-28 00:00:00,107.86491118,108.68988182,106.73057655,107.14306187,32599274.0,,339999710.64,SmaCross,137,737634.0,MovingAverageSimple,137,109.391104868,CrossOver,137,0.0,Broker,137,9882.120526416002,9882.120526416002,BuySell,137,,,Trades - Net Profit/Loss,137,,
138,,138,2020-07-29 00:00:00,106.73057655,108.68988182,106.42121256,108.38051783,45256602.0,,474093212.71,SmaCross,138,737635.0,MovingAverageSimple,138,108.339269298,CrossOver,138,1.0,Broker,138,9882.120526416002,9882.120526416002,BuySell,138,,,Trades - Net Profit/Loss,138,,
139,,139,2020-07-30 00:00:00,108.38051783,108.58676049,107.2461832,107.2461832,40443481.0,,422561053.58,SmaCross,139,737636.0,MovingAverageSimple,139,107.43180159399999,CrossOver,139,-1.0,Broker,139,9882.120526416002,9882.120526416002,BuySell,139,,,Trades - Net Profit/Loss,139,,
140,,140,2020-07-31 00:00:00,107.34930453,108.48363916,106.31809123,106.83369788,65368427.0,,679850126.02,SmaCross,140,737637.0,MovingAverageSimple,140,107.30805599800001,CrossOver,140,0.0,Broker,140,9882.120526416002,9882.120526416002,BuySell,140,,,Trades - Net Profit/Loss,140,,
141,,141,2020-08-03 00:00:00,107.2461832,108.07115384,106.93681921,107.34930453,56272005.0,,586201746.4,SmaCross,141,737640.0,MovingAverageSimple,141,107.39055306200001,CrossOver,141,0.0,Broker,141,9882.120526416002,9882.120526416002,BuySell,141,,,Trades - Net Profit/Loss,141,,
142,,142,2020-08-04 00:00:00,107.86491118,110.54606576,107.55554719,109.92733778,88522454.0,,937235108.78,SmaCross,142,737641.0,MovingAverageSimple,142,107.947408244,CrossOver,142,1.0,Broker,142,9882.120526416002,9882.120526416002,BuySell,142,,,Trades - Net Profit/Loss,142,,
143,,143,2020-08-05 00:00:00,109.72109512,109.72109512,107.76178985,108.38051783,46011280.0,,483338972.02,SmaCross,143,737642.0,MovingAverageSimple,143,107.947408244,CrossOver,143,0.0,Broker,143,9882.120526416002,9882.120526416002,BuySell,143,,,Trades - Net Profit/Loss,143,,
144,,144,2020-08-06 00:00:00,108.99924581,109.61797379,107.34930453,108.58676049,42484232.0,,445698833.14,SmaCross,144,737643.0,MovingAverageSimple,144,108.215523702,CrossOver,144,0.0,Broker,144,9882.120526416002,9882.120526416002,BuySell,144,,,Trades - Net Profit/Loss,144,,
145,,145,2020-08-07 00:00:00,108.38051783,108.58676049,106.83369788,107.55554719,44271966.0,,461730420.88,SmaCross,145,737644.0,MovingAverageSimple,145,108.359893564,CrossOver,145,-1.0,Broker,145,9882.120526416002,9882.120526416002,BuySell,145,,,Trades - Net Profit/Loss,145,,
146,,146,2020-08-10 00:00:00,107.45242586,108.99924581,107.14306187,108.48363916,48973967.0,,514604347.77,SmaCross,146,737647.0,MovingAverageSimple,146,108.58676049,CrossOver,146,0.0,Broker,146,9882.120526416002,9882.120526416002,BuySell,146,,,Trades - Net Profit/Loss,146,,
147,,147,2020-08-11 00:00:00,109.10236714,110.13358044,107.76178985,107.96803251,63673224.0,,676102351.17,SmaCross,147,737648.0,MovingAverageSimple,147,108.19489943599999,CrossOver,147,0.0,Broker,147,9882.120526416002,9882.120526416002,BuySell,147,,,Trades - Net Profit/Loss,147,,
148,,148,2020-08-12 00:00:00,108.17427517,109.3086098,107.86491118,108.89612448,43268629.0,,455458282.12,SmaCross,148,737649.0,MovingAverageSimple,148,108.298020766,CrossOver,148,1.0,Broker,148,9882.120526416002,9882.120526416002,BuySell,148,,,Trades - Net Profit/Loss,148,,
149,,149,2020-08-13 00:00:00,109.3086098,109.41173113,108.2773965,108.38051783,25798477.0,,271625415.12,SmaCross,149,737650.0,MovingAverageSimple,149,108.25677223400001,CrossOver,149,0.0,Broker,149,9882.120526416002,9882.120526416002,BuySell,149,,,Trades - Net Profit/Loss,149,,
150,,150,2020-08-14 00:00:00,108.58676049,109.3086098,108.07115384,109.20548847,37584530.0,,396506222.63,SmaCross,150,737651.0,MovingAverageSimple,150,108.58676049,CrossOver,150,0.0,Broker,150,9882.120526416002,9882.120526416002,BuySell,150,,,Trades - Net Profit/Loss,150,,
151,,151,2020-08-17 00:00:00,109.20548847,113.22722034,108.99924581,111.78352172,98742699.0,,1066482968.31,SmaCross,151,737654.0,MovingAverageSimple,151,109.246737002,CrossOver,151,0.0,Broker,151,9882.120526416002,9882.120526416002,BuySell,151,,,Trades - Net Profit/Loss,151,,
152,,152,2020-08-18 00:00:00,111.88664305,111.88664305,109.61797379,110.23670177,54091961.0,,580056196.32,SmaCross,152,737655.0,MovingAverageSimple,152,109.70047085399999,CrossOver,152,0.0,Broker,152,9882.120526416002,9882.120526416002,BuySell,152,,,Trades - Net Profit/Loss,152,,
153,,153,2020-08-19 00:00:00,110.23670177,110.75230842,108.99924581,109.10236714,43448106.0,,462151805.43,SmaCross,153,737656.0,MovingAverageSimple,153,109.741719386,CrossOver,153,-1.0,Broker,153,9882.120526416002,9882.120526416002,BuySell,153,,,Trades - Net Profit/Loss,153,,
154,,154,2020-08-20 00:00:00,108.89612448,108.99924581,107.55554719,107.96803251,53539028.0,,559975457.1,SmaCross,154,737657.0,MovingAverageSimple,154,109.659222322,CrossOver,154,0.0,Broker,154,9882.120526416002,9882.120526416002,BuySell,154,,,Trades - Net Profit/Loss,154,,
155,,155,2020-08-21 00:00:00,108.89612448,108.89612448,107.76178985,108.2773965,31451520.0,,329790600.62,SmaCross,155,737658.0,MovingAverageSimple,155,109.47360392799999,CrossOver,155,0.0,Broker,155,9882.120526416002,9882.120526416002,BuySell,155,,,Trades - Net Profit/Loss,155,,
156,,156,2020-08-24 00:00:00,108.99924581,108.99924581,107.65866852,107.86491118,38982822.0,,408922474.85,SmaCross,156,737661.0,MovingAverageSimple,156,108.68988182000001,CrossOver,156,0.0,Broker,156,9882.120526416002,9882.120526416002,BuySell,156,,,Trades - Net Profit/Loss,156,,
157,,157,2020-08-25 00:00:00,108.07115384,108.38051783,107.34930453,107.76178985,37897250.0,,396122405.28,SmaCross,157,737662.0,MovingAverageSimple,157,108.19489943599999,CrossOver,157,0.0,Broker,157,9882.120526416002,9882.120526416002,BuySell,157,,,Trades - Net Profit/Loss,157,,
158,,158,2020-08-26 00:00:00,107.65866852,107.76178985,106.73057655,106.93681921,39278732.0,,408174291.9,SmaCross,158,737663.0,MovingAverageSimple,158,107.76178984999999,CrossOver,158,0.0,Broker,158,9882.120526416002,9882.120526416002,BuySell,158,,,Trades - Net Profit/Loss,158,,
159,,159,2020-08-27 00:00:00,107.03994054,107.2461832,106.42121256,106.73057655,30462492.0,,315213297.12,SmaCross,159,737664.0,MovingAverageSimple,159,107.514298658,CrossOver,159,0.0,Broker,159,9882.120526416002,9882.120526416002,BuySell,159,,,Trades - Net Profit/Loss,159,,
160,,160,2020-08-28 00:00:00,106.73057655,107.86491118,106.31809123,107.86491118,53131203.0,,552429110.68,SmaCross,160,737665.0,MovingAverageSimple,160,107.43180159399999,CrossOver,160,1.0,Broker,160,9882.120526416002,9882.120526416002,BuySell,160,,,Trades - Net Profit/Loss,160,,
161,,161,2020-08-31 00:00:00,107.86491118,108.38051783,106.42121256,106.83369788,80037356.0,,835524366.27,SmaCross,161,737668.0,MovingAverageSimple,161,107.22555893399999,CrossOver,161,-1.0,Broker,161,9882.120526416002,9882.120526416002,BuySell,161,,,Trades - Net Profit/Loss,161,,
162,,162,2020-09-01 00:00:00,106.31809123,106.83369788,105.80248458,106.11184857,53931233.0,,555922098.74,SmaCross,162,737669.0,MovingAverageSimple,162,106.89557067799998,CrossOver,162,0.0,Broker,162,9882.120526416002,9882.120526416002,BuySell,162,,,Trades - Net Profit/Loss,162,,
163,,163,2020-09-02 00:00:00,106.00872724,106.11184857,104.35878596,104.97751394,56787081.0,,578763478.88,SmaCross,163,737670.0,MovingAverageSimple,163,106.503709624,CrossOver,163,0.0,Broker,163,9882.120526416002,9882.120526416002,BuySell,163,,,Trades - Net Profit/Loss,163,,
164,,164,2020-09-03 00:00:00,105.08063527,105.49312059,104.25566463,104.35878596,40832020.0,,414701608.01,SmaCross,164,737671.0,MovingAverageSimple,164,106.02935150600001,CrossOver,164,0.0,Broker,164,9882.120526416002,9882.120526416002,BuySell,164,,,Trades - Net Profit/Loss,164,,
165,,165,2020-09-04 00:00:00,103.84317931,104.66814995,103.22445133,103.84317931,38443982.0,,387141417.94,SmaCross,165,737672.0,MovingAverageSimple,165,105.225005132,CrossOver,165,0.0,Broker,165,9882.120526416002,9882.120526416002,BuySell,165,,,Trades - Net Profit/Loss,165,,
166,,166,2020-09-07 00:00:00,103.84317931,104.77127128,103.22445133,103.22445133,58564585.0,,589509231.02,SmaCross,166,737675.0,MovingAverageSimple,166,104.50315582200001,CrossOver,166,0.0,Broker,166,9882.120526416002,9882.120526416002,BuySell,166,,,Trades - Net Profit/Loss,166,,
167,,167,2020-09-08 00:00:00,103.84317931,104.04942197,103.22445133,103.63693665,52972540.0,,532346432.87,SmaCross,167,737676.0,MovingAverageSimple,167,104.008173438,CrossOver,167,0.0,Broker,167,9882.120526416002,9882.120526416002,BuySell,167,,,Trades - Net Profit/Loss,167,,
168,,168,2020-09-09 00:00:00,103.22445133,103.94630064,103.12133,103.22445133,49418500.0,,496009217.16,SmaCross,168,737677.0,MovingAverageSimple,168,103.657560916,CrossOver,168,0.0,Broker,168,9882.120526416002,9882.120526416002,BuySell,168,,,Trades - Net Profit/Loss,168,,
169,,169,2020-09-10 00:00:00,103.74005798,103.74005798,102.50260202,102.70884468,54169916.0,,540727380.94,SmaCross,169,737678.0,MovingAverageSimple,169,103.32757265999999,CrossOver,169,0.0,Broker,169,9882.120526416002,9882.120526416002,BuySell,169,,,Trades - Net Profit/Loss,169,,
170,,170,2020-09-11 00:00:00,102.60572335,102.70884468,101.57451005,102.29635936,49947642.0,,494619679.9,SmaCross,170,737679.0,MovingAverageSimple,170,103.01820866999999,CrossOver,170,0.0,Broker,170,9882.120526416002,9882.120526416002,BuySell,170,,,Trades - Net Profit/Loss,170,,
171,,171,2020-09-14 00:00:00,102.60572335,102.60572335,101.67763138,102.0901167,38851230.0,,384257705.8,SmaCross,171,737682.0,MovingAverageSimple,171,102.791341744,CrossOver,171,0.0,Broker,171,9882.120526416002,9882.120526416002,BuySell,171,,,Trades - Net Profit/Loss,171,,
172,,172,2020-09-15 00:00:00,102.19323803,102.29635936,101.57451005,101.67763138,46601549.0,,459933677.85,SmaCross,172,737683.0,MovingAverageSimple,172,102.39948068999999,CrossOver,172,0.0,Broker,172,9882.120526416002,9882.120526416002,BuySell,172,,,Trades - Net Profit/Loss,172,,
173,,173,2020-09-16 00:00:00,101.78075271,102.0901167,101.0589034,101.67763138,51470657.0,,507227129.45,SmaCross,173,737684.0,MovingAverageSimple,173,102.0901167,CrossOver,173,0.0,Broker,173,9882.120526416002,9882.120526416002,BuySell,173,,,Trades - Net Profit/Loss,173,,
174,,174,2020-09-17 00:00:00,101.78075271,101.98699537,101.0589034,101.36826739,43171675.0,,424496711.82,SmaCross,174,737685.0,MovingAverageSimple,174,101.822001242,CrossOver,174,0.0,Broker,174,9882.120526416002,9882.120526416002,BuySell,174,,,Trades - Net Profit/Loss,174,,
175,,175,2020-09-18 00:00:00,101.47138872,102.50260202,101.0589034,102.50260202,95230581.0,,941630507.92,SmaCross,175,737686.0,MovingAverageSimple,175,101.863249774,CrossOver,175,1.0,Broker,175,9882.120526416002,9882.120526416002,BuySell,175,,,Trades - Net Profit/Loss,175,,
176,,176,2020-09-21 00:00:00,102.50260202,102.81196601,101.36826739,101.47138872,55998716.0,,553037614.48,SmaCross,176,737689.0,MovingAverageSimple,176,101.73950417799999,CrossOver,176,-1.0,Broker,176,9882.120526416002,9882.120526416002,BuySell,176,,,Trades - Net Profit/Loss,176,,
177,,177,2020-09-22 00:00:00,101.16202473,101.47138872,99.92456877,100.0276901,65952098.0,,643194146.4,SmaCross,177,737690.0,MovingAverageSimple,177,101.409515922,CrossOver,177,0.0,Broker,177,9882.120526416002,9882.120526416002,BuySell,177,,,Trades - Net Profit/Loss,177,,
178,,178,2020-09-23 00:00:00,100.13081143,100.23393276,99.20271946,99.30584079,41909587.0,,404393340.16,SmaCross,178,737691.0,MovingAverageSimple,178,100.935157804,CrossOver,178,0.0,Broker,178,9882.120526416002,9882.120526416002,BuySell,178,,,Trades - Net Profit/Loss,178,,
179,,179,2020-09-24 00:00:00,99.09959813,99.20271946,97.55277818,97.9652635,53858739.0,,512493256.04,SmaCross,179,737692.0,MovingAverageSimple,179,100.254557026,CrossOver,179,0.0,Broker,179,9882.120526416002,9882.120526416002,BuySell,179,,,Trades - Net Profit/Loss,179,,
180,,180,2020-09-25 00:00:00,97.9652635,98.27462749,97.55277818,97.65589951,29487505.0,,279750442.32,SmaCross,180,737693.0,MovingAverageSimple,180,99.28521652399999,CrossOver,180,0.0,Broker,180,9882.120526416002,9882.120526416002,BuySell,180,,,Trades - Net Profit/Loss,180,,
181,,181,2020-09-28 00:00:00,97.86214217,98.27462749,97.55277818,97.55277818,26257827.0,,249063489.41,SmaCross,181,737696.0,MovingAverageSimple,181,98.501494416,CrossOver,181,0.0,Broker,181,9882.120526416002,9882.120526416002,BuySell,181,,,Trades - Net Profit/Loss,181,,
182,,182,2020-09-29 00:00:00,97.9652635,98.17150616,97.24341419,97.24341419,32988266.0,,312583584.98,SmaCross,182,737697.0,MovingAverageSimple,182,97.944639234,CrossOver,182,0.0,Broker,182,9882.120526416002,9882.120526416002,BuySell,182,,,Trades - Net Profit/Loss,182,,
183,,183,2020-09-30 00:00:00,97.44965685,97.86214217,96.41844355,96.83092887,39006807.0,,367745388.57,SmaCross,183,737698.0,MovingAverageSimple,183,97.44965685,CrossOver,183,0.0,Broker,183,9882.120526416002,9882.120526416002,BuySell,183,,,Trades - Net Profit/Loss,183,,
184,,184,2020-10-09 00:00:00,97.34653552,97.75902084,96.9340502,97.14029286,39772687.0,,375559366.01,SmaCross,184,737707.0,MovingAverageSimple,184,97.284662722,CrossOver,184,0.0,Broker,184,9882.120526416002,9882.120526416002,BuySell,184,,,Trades - Net Profit/Loss,184,,
185,,185,2020-10-12 00:00:00,97.44965685,99.30584079,97.14029286,98.89335547,66671637.0,,637356691.4,SmaCross,185,737710.0,MovingAverageSimple,185,97.532153914,CrossOver,185,1.0,Broker,185,9882.120526416002,9882.120526416002,BuySell,185,,,Trades - Net Profit/Loss,185,,
186,,186,2020-10-13 00:00:00,98.79023414,98.89335547,98.17150616,98.37774882,28059097.0,,267595710.61,SmaCross,186,737711.0,MovingAverageSimple,186,97.69714804200001,CrossOver,186,0.0,Broker,186,9882.120526416002,9882.120526416002,BuySell,186,,,Trades - Net Profit/Loss,186,,
187,,187,2020-10-14 00:00:00,98.37774882,98.58399148,97.9652635,98.27462749,42969217.0,,409511681.66,SmaCross,187,737712.0,MovingAverageSimple,187,97.903390702,CrossOver,187,0.0,Broker,187,9882.120526416002,9882.120526416002,BuySell,187,,,Trades - Net Profit/Loss,187,,
